anonymous,author_shopid,author_username,cat_id,cmtid,comment,count_rating_with_image,count_with_context,ctime,editable,item_id,mtime,orderid,product_title,rating,rating_count0,rating_count1,rating_count2,rating_count3,rating_count4,rating_count5,rating_star,shop_id,userid
False,61258905.0,meisha2505,2678.0,2343542554.0,"Mantap lancar kak. Beli pas maubtengah malem langsung dilayanin dong, segercep itu. Pokoknya jangan ragu buat yg mau beli netflix disini aja, lebih murah dibanding yang lain. Makasih yaaaa.",284.0,680.0,1588747940.0,1.0,4822872755.0,1588747940.0,,NETFLIX PREMIUM 1 BULAN 4K ANTI ON,1.0,1316.0,2.0,4.0,1.0,44.0,3584.0,5.0,134248812.0,61260347.0
,,,,,,,,,,,,,,,,,,,,,,,
False,66000600.0,toserbaaurora86,2902.0,2440284257.0,super recommended seller. dari order sampai dapat akun jg ga lama. pasti bakal rekomen ke orang2 sih ini. MANTAB 👍,922.0,2182.0,1590257623.0,2.0,2767211185.0,1590257675.0,,Nord VPN Lifetime - Bergaransi - Termurah - Bypass Netflix - VPN Netflix - VPN Indihome/Telk,1.0,7274.0,89.0,15.0,44.0,88.0,9088.0,5.0,15168157.0,66002056.0
,,,,,,,,,,,,,,,,,,,,,,,
False,80294228.0,icanursarah,2902.0,2327971512.0,"Hp sampai dengan selamat, berfungsi dengan baik, tiada kendala Alhamdulillah, semoga awet dan mantap jiwaa",922.0,2182.0,1588431497.0,1.0,2767211185.0,1588431497.0,,Nord VPN Lifetime - Bergaransi - Termurah - Bypass Netflix - VPN Netflix - VPN Indihome/Telk,1.0,7274.0,89.0,15.0,44.0,88.0,9088.0,5.0,15168157.0,80295702.0
,,,,,,,,,,,,,,,,,,,,,,,
True,140936473.0,c*****r,3404.0,2415094026.0,"awalnya agak ragu, karena takut ditipu. tp bisa dilihat tokonya sendiri trusted di shopee dan juga cepat tanggap. waktu ada masalah dengan akunnya langsung dibantu. saya pun bisa enjoy menggunakan netflix. terima kasih kak. tolong dibantu ya kalau nanti mungkin ada masalah.",842.0,1156.0,1589854239.0,1.0,4424230615.0,1589854239.0,,NETFLIX PREMIUM PRIVATE UHD GARANSI FULL ATAU SH,1.0,4661.0,7.0,0.0,2.0,6.0,7804.0,5.0,43809563.0,140938297.0
,,,,,,,,,,,,,,,,,,,,,,,
False,71716266.0,sandhihs,3404.0,2439828364.0,Lancar jaya netflixnya.. seller juga kasih penjelasan yg rinci dan pasti akan bantu kalo nanti ada kendala. Semoga sih gak ada kendala selama pemakaian. thanks min,842.0,1156.0,1590244243.0,1.0,4424230615.0,1590244243.0,,NETFLIX PREMIUM PRIVATE UHD GARANSI FULL ATAU SH,1.0,4661.0,7.0,0.0,2.0,6.0,7804.0,5.0,43809563.0,71717727.0
,,,,,,,,,,,,,,,,,,,,,,,
